,url,winery,name,types,region,country,rating,n_rating,price,review,grapes,regional,food
10,https://www.vivino.com/quinta-da-neve-quinta-essencia-montepulciano/w/6755029?year=2015&amp;price_id=18374563,Quinta da Neve,Quinta Essência Montepulciano 2015,Red wine,Santa Catarina,Brazil,4,48 ratings,R$97.,"Community reviews
Quinta Essência is produced with Montepulciano grapes harvested in the 2015 harvest in São Joaquim SC, at more than 1300m altitude. Made by Quinta Da Neve winery, it spends 24 Months in French oak barrels. Ruby red with violet tones, it shows floral aromas and fresh red and black fruits with notes of spices, which are repeated on the palate. Medium bodied, velvety tannins and balanced acidity, long and persistent finish, is a great wine.
Like
Comments (14)
Carlos Gilberto Machado
2897 ratings
Rated on Jun 4, 2019
Tight BlackBerry and dark berry aromas. A hefty whack of new oak dominates the palate. Soft tannins. Underlying herbal / mint note. Nice. Bordeaux more than Italian in style. A bit too much oak to be elegant and get 4 stars for me.
Like
Comments (6)
Nick Rowan
5455 ratings
Rated on Mar 19, 2019
Nice balance..little on sweet side..long finish
Like
Comment
Raf
198 ratings
Rated on May 3, 2019
Show more reviews","Montepulciano
","Winery
Quinta da Neve
Grapes
Montepulciano
Region
Santa Catarina
","Lamb, Veal, Pork, Game (deer, venison), Vegetarian"
11,https://www.vivino.com/glen-carlou-sauvignon-blanc/w/24226?year=2014&amp;price_id=13921478,Glen Carlou,Sauvignon Blanc 2014,White wine,Durbanville,South Africa,3.5,92 ratings,R$181.70.,"Community reviews
""Lasciate ogni speranza voi ch'entrate."" (Abbandon all hope you who enter here) That's what Dante Alighieri read right on the entrance of hell. That would be appropriate for my city's entrance for the last few days. It's been so warm it actually feels like hell. So I opened this lovely South African Sauvignon Blanc. Yes, it's monday. No, I am not an alcoholic. I just need some freshness. Great fresh aromas, grapefruit, passion fruit, melon. Beautiful bright light color and great acidity. Hell is OK! :)
Like
Comments (43)
Márcia Morato
1529 ratings
Rated on Sep 21, 2015
soft and fruity but not green. not much minerality. not a stand out but a good start to an afternoon of wine tasting...
Like
Comment
Richard Carter
407 ratings
Rated on Sep 2, 2015
Another sterling SA Sauv Blanc Easy drinkable Good value
Like
Comment
Rav Behari
322 ratings
Rated on Apr 16, 2015
Show more reviews","Sauvignon Blanc
","South African Sauvignon Blanc
","Shellfish, Vegetarian, Goat cheese"
12,https://www.vivino.com/kilikanoon-wines-cello-shiraz/w/2179364?year=2015&amp;price_id=18006574,Kilikanoon,Cello Shiraz 2015,Red wine,Clare Valley,Australia,3.6,45 ratings,R$148.70.,"Community reviews
Medium-dark ruby color. Spicy and oaky aromas (black pepper, oak, eucalyptus) Medium-high tannins and not as spicy in the mouth as in the nose. Medium-long finish.Note 3.9
Like
Comment
Gustavo Ziemath
365 ratings
Rated on Mar 26, 2019
Nice light wine
Like
Comment
Kevin Moroney
382 ratings
Rated on Apr 8, 2017
Inoffensive and drinkable in Japan on the ski slopes where not much to choose from.
Like
Comment
Frances Sambrailo
2 ratings
Rated on Jan 26, 2018
Show more reviews","Shiraz/Syrah
","Australian Shiraz
","Beef, Lamb, Game (deer, venison), Poultry"
13,https://www.vivino.com/montirius-confidentiel-gigondas/w/91077?year=2006&amp;price_id=595318,Montirius,Confidentiel Gigondas 2006,Red wine,Gigondas,France,4,79 ratings,R$454.70.,"Community reviews
Another beauty by Montirius - biodynamic and no oak
Like
Comments (3)
Fabien Lainé
2556 ratings
Rated on Mar 20, 2016
Deep garnet color. Berry, old house, chocolate flavor. Tannin is little strong, and cassis, berry taste. Ten years passed but it still be fresh.
Like
Comments (1)
Yasuki Kikuchi
1376 ratings
Rated on Apr 16, 2016
The best Gigondas that I have ever come across, better than most Chateauneuf-du-Papes. Garrigue and berries on the nose, quite youthful and vibrant on the palate. Good structure, still plenty of potential. Maybe slightly tannic, if I want to be strict.
Like
Comment
István Kutas
2656 ratings
Rated the 2007 vintage on Jan 19, 2016
Show more reviews","Grenache, Mourvedre
","Southern Rhône Red
","Beef, Lamb, Game (deer, venison)"
14,https://www.vivino.com/monte-da-serra-tinto/w/1213213?year=2017&amp;price_id=17196928,Monte da Serra,Tinto 2017,Red wine,Vinho de Portugal,Portugal,3.7,354 ratings,R$60.30.,"Community reviews
Wines from Portugal have usually good quality/price ratio. This is the case. Great aromas of raspberries jam with ripe plums. Low tannins, medium acidity, dry but soft and easy to drink. The 3.7 average in Vivino reflects exactly its quality but considering its price, 4 stars.
Like
Comments (12)
Erley Santos
1679 ratings
Rated on Nov 10, 2018
Brick red colour with medium body. Jammy red fruit driven and deliciously soft and smooth. Bravo.
Like
Comment
Paul Evans
253 ratings
Rated on Dec 23, 2018
Fruity, light semi dry. Very nice.
Like
Comment
Zbigniew Sysio
73 ratings
Rated on Oct 13, 2018
Show more reviews","Jaen, Tinta Roriz, Alfrocheiro Preto
","Portuguese Alentejo Red
","Beef, Lamb, Veal, Poultry"
15,https://www.vivino.com/cantharus-seleccion-tannat-merlot/w/1244413?year=2015&amp;price_id=13086923,Cantharus,Seleccion Tannat - Merlot 2015,Red wine,Canelones,Uruguay,3.6,776 ratings,R$89.,"Community reviews
Uruguayan wine made of 60% indian Tannat + 40% Merlot grapes aged for 6 months in USA oak barrels. Very dark ruby red color. Intense ripe red/black fruit aromas with strong notes of toasted bread, wood, dried meat, menthol, spices and leather. Medium-bodied (13.0%), not fully balanced wine, quite acidic and nicely alcoholic, kind of bitter, pairing robust, smooth tannins. Finish is fairly intense, dry, still bitter and persistent. 78-GB pts is fair enough for this not fully rounded wine!!
Like
Comments (18)
Roberto Bassan
1302 ratings
Rated on Mar 28, 2019
Low tanines but accidity a bit persistant at the end. 13% alcohol. Black fruits. Nice.
Like
Comment
Valdir Lage
304 ratings
Rated on Sep 7, 2016
Very good Uruguayan wine. Tannat is great. Excellent with meat
Like
Comment
Renato Garcia
271 ratings
Rated on Mar 10, 2017
Show more reviews","Merlot, Tannat
","Winery
Cantharus
Grapes
Merlot, Tannat
Region
Canelones
","Beef, Game (deer, venison)"
16,https://www.vivino.com/cl-chono-dalca-series-petit-verdot/w/4558714?year=2012&amp;price_id=14236199,Chono,Dalca Series Petit Verdot 2012,Red wine,Colchagua Valley,Chile,4.1,43 ratings,R$71.83.,"Community reviews
Oily with hints of salty red fruits, nice!
Like
Comments (1)
Pedro Bianchi Rodrigo
591 ratings
Rated on Dec 31, 2017
Muy buen vino, BBB, cada día va mejorando, gratamente sorprendido, después de probarlo, aparte de incluirlo en la carta del restaurant, decidí guardar 12 botellas para ver la evolución, al que le gustan los vino corpóreos le va a encantar
Like
Comment
Jeipi
742 ratings
Rated on Oct 11, 2017
Elegante, rica acidez, podría seguir evolucionando bien por unos cuantos años más, buena fruta, final sedoso y persistente!
Like
Comment
Zoommelier
104 ratings
Rated on May 4, 2018
Show more reviews","Petit Verdot
","Winery
Chono
Grapes
Petit Verdot
Region
Colchagua Valley
","Beef, Mature and hard cheese"
17,https://www.vivino.com/talamonti-aternum-trebbiano-d-abruzzo/w/1162384?year=2011&amp;price_id=11159256,Talamonti,Aternum Trebbiano d'Abruzzo 2011,White wine,Trebbiano d'Abruzzo,Italy,3.1,43 ratings,R$40.85.,"Community reviews
Well trebbiano express it self well in the area if Loreto aprutino
Like
Comments (1)
Mattia_world's
372 ratings
Rated on Feb 22, 2016
Pleasant, youthful in flavor and light on the tongue
Like
Comments (1)
Ken Bolick
281 ratings
Rated on Mar 8, 2017
Clear bright golden appearance, light apricot nose, slight butter and citrus notes with medium acid and with medium finish.
Like
Comment
Hugh Shannon
1273 ratings
Rated on May 23, 2016
Show more reviews","Trebbiano D'Abruzzo
","Central Italy White
","Pasta, Vegetarian, Appetizers and snacks, Lean fish, Cured Meat"
18,https://www.vivino.com/curto-fontanelle-nero-d-avola/w/1660599?year=2013&amp;price_id=16773594,Curto,Fontanelle Nero d'Avola 2013,Red wine,Eloro,Italy,3.9,26 ratings,R$91.81.,"Community reviews
Opens up beautifully and offers a masculine dark wine. Stone/granite and dark berries. Give it time in the glass and magic happens.
Like
Comment
Christian 'Bottgera' Bøttger
1265 ratings
Rated the 2010 vintage on Apr 30, 2016
A very warm and smooth wine. We ordered this at an iltalian restaurant in Milan and enjoyed every drop. Complemented our lasagna very well
Like
Comment
Ken Vannerum
112 ratings
Rated the 2014 vintage on Sep 11, 2017
Nice Nero d'Avola. Deep red colour and intense taste
Like
Comments (2)
Flavio Steiner
2723 ratings
Rated the 2012 vintage on Jul 30, 2017
Show more reviews","Nero d'Avola
","Southern Italy Red
","Beef, Pasta, Lamb"
19,https://www.vivino.com/musto-carmelitano-maschitano-rosso-aglianico-del-vulture/w/1188169?year=2010&amp;price_id=12393264,Musto Carmelitano,Maschitano Rosso Aglianico del Vulture 2010,Red wine,Aglianico del Vulture,Italy,3.9,26 ratings,R$39.97.,"Community reviews
Kind of musty, in a good way. I like it.
Like
Comment
Vole!
205 ratings
Rated on Feb 6, 2015
Tannic, berries, dry, well balanced
Like
Comment
Spencer Steffen
24 ratings
Rated on Sep 29, 2017
Spice, dry, heavy body, medium fruit. Musty nose
Like
Comment
Jason Laschewer
53 ratings
Rated on Jun 2, 2017
Show more reviews","Aglianico
","Southern Italy Red
","Beef, Pasta, Lamb"
20,https://www.vivino.com/venturini-5538-semonte-alto-valpolicella-ripasso-classico-superiore/w/1167916?year=2012&amp;price_id=11134429,Venturini,Semonte Alto Valpolicella Ripasso Classico Superiore 2012,Red wine,Valpolicella Ripasso Classico,Italy,3.7,148 ratings,R$56.67.,"Community reviews
Interesting wine I had not had a Valpolicella made in the ripassomenta style before. Cut vine, cedar box and a hint of smoke on the nose. Cherries dominate then light spices, leather notes on the finish. Very smooth and good length, almost delicate, with nice acidity.
Like
Comment
Alan Burge
306 ratings
Rated on Sep 30, 2016
Very good ripasso. Good fruit.
Like
Comment
Lise
424 ratings
Rated on May 21, 2016
Still quite young, Dried fruit, raisins, deep extract full mouth of ripe black fruit, juicy. Soft tannins, long tasre
Like
Comment
Bjørn Van Der Hoek
116 ratings
Rated on Nov 5, 2016
Show more reviews","Corvina, Rondinella, Molinara
","Italian Ripasso
","Beef, Veal, Game (deer, venison)"
21,https://www.vivino.com/la-montanina-chianti-classico/w/2196499?year=2013&amp;price_id=16056672,La Montanina,Chianti Classico 2013,Red wine,Chianti Classico,Italy,3.6,50 ratings,R$41.29.,"Highlights
Great value for money. Similar wines usually cost 16 times as much.
Popular among Vivino users. More than 50 ratings","Merlot, Sangiovese
","Italian Chianti
","Beef, Veal, Poultry"
22,https://www.vivino.com/bellaveder-faedi-pinot-nero-riserva/w/2076974?year=2013&amp;price_id=11133955,Bellaveder,Faedi Pinot Nero Riserva 2013,Red wine,Trentino,Italy,3.6,26 ratings,R$100.59.,"Community reviews
Rosso rubino scarico e trasparente. Al naso sentori di amarene sotto spirito, poi vaniglia e noce moscata, caffè tostato e pepe, frutta a bacche nere. In bocca apre molto bene, con un bel frutto tridimensionale, spezie ben dosate en una bella sensazione di affumicatura che è poi tipica del Pinot Nero. Anche i sentori di caffè tostato sono piacevoli, così come la moderata freschezza finale, i tannini morbidi, la buona sensazione di pepe e la persistenza. Un bel Pinot Nero trentino
Like
Comment
Luca Meroni
949 ratings
Rated on Feb 24, 2019
Smooth ready and intense with hints of mature red fruits of cherries & raspberries
Like
Comment
Linda Sorgiovanni
48 ratings
Rated the 2011 vintage on Oct 12, 2017
Degustato presso il produttore (Agosto 2016). Affina 1 anno in legno. Si presenta di un colore rosso rubino chiaro. Al naso emergono sentori di amarena, leggere note di boisè e accenni speziati. Al palato è di corpo, caldo, rotondo, secco, fresco, leggermente sapido e giustamente tannico. Complessivamente equilibrato e persistente. Pinot Nero elegante 3.5
Like
Comments (2)
Federico L
6094 ratings
Rated on Aug 21, 2016
Show more reviews","Pinot Nero
","Northern Italy Pinot Noir
","Beef, Veal, Game (deer, venison), Poultry"
23,https://www.vivino.com/vadiaperti-fiano-di-avellino/w/1227676?year=2014&amp;price_id=11133965,Vadiaperti,Fiano di Avellino 2014,White wine,Fiano de Avellino,Italy,3.7,38 ratings,R$53.15.,"Community reviews
Fresh and with good corp in mouth. Low aromas in nose, but well ripened that gives structure. Some notes of toasty nutt
Like
Comment
Marta Casas
489 ratings
Rated on Nov 7, 2016
U will not find better at this price macerated
Like
Comment
TJBR
535 ratings
Rated on Mar 14, 2016
100% Fiano. Nose is very elegant with a mix of flowers (acacia) and herbs (savage), with dried fruit and fresh bread. Very rich in mouth with perfect harmony and a sexy minerality that continues in the long final.
Like
Comments (17)
Daniele B
1810 ratings
Rated the 2015 vintage on Dec 17, 2016
Show more reviews","Fiano
","Southern Italy White
","Shellfish, Vegetarian, Appetizers and snacks"
24,https://www.vivino.com/quarta-generazione-aglianico-del-vulture/w/4470916?year=2013&amp;price_id=11159613,Quarta Generazione,Aglianico del Vulture 2013,Red wine,Aglianico del Vulture,Italy,4.2,140 ratings,R$65.01.,"Community reviews
M+intensity on nose. Cooked blueberries, black currant, black plum, smoke, herbal notes. Dry, M acidity, M+tannins, M+alcohol, M bodied. Clove, nutmeg. Great concentration of fruits. Seducing palate with ripe fruits and a mysterious smokiness, also herbal notes adding depth and complexity. Tannins are ripe and velvety. Finish is M+in length.
Like
Comment
Jacky Lam
365 ratings
Rated on Nov 16, 2018
Favorite chocolate but light terrestoria
Like
Comment
Erin Bailey
151 ratings
Rated on Jul 26, 2018
Showing elegance and strength together. Dense dark fruits with herbal notes.
Like
Comments (1)
Joseph Cheung
1 rating
Rated on Nov 10, 2018
Show more reviews","Aglianico
","Southern Italy Red
","Beef, Pasta, Lamb"
25,https://www.vivino.com/it-tenuta-san-francesco-tramonti-costa-d-amalfi-rosso/w/1221387?year=2015&amp;price_id=15590426,Tenuta San Francesco,Tramonti Costa d'Amalfi Rosso 2015,Red wine,Costa d'Amalfi,Italy,3.5,179 ratings,R$110.26.,"Community reviews
A bit unbalanced. Might be faulty storage as it was sold from a rack in a hot store. Anyway, a wine full of terroir with lava stone minerality, pencil strokes, cassis and basil.
Like
Comment
Christian Sandberg
763 ratings
Rated on Jul 18, 2018
I’m not normally a Rose drinker, but you know what they say “when in Positano”.......This is a very easy drinking wine and pairs well with Italian antipasto.
Like
Comments (1)
Steven Flynn
82 ratings
Rated on Jul 5, 2018
Dry, fruity, strong finish.
Like
Comment
D Mac
51 ratings
Rated on Jul 24, 2018
Show more reviews","Aglianico, Piedirosso, Tintore Di Tramonti
","Southern Italy Red
","Beef, Pasta, Lamb"
26,https://www.vivino.com/abel-pinchard-pinot-noir-bourgogne-rouge/w/1242866?year=2015&amp;price_id=16690062,Abel Pinchard,Pinot Noir Bourgogne Rouge 2015,Red wine,Bourgogne,France,3.6,59 ratings,R$138.,"Community reviews
Degustação para formadores de opinião da Casa Flora Rj ( Bordeaux e Borgonha). Coloração vermelho rubi. Aromas cereja, azeitona. Na boca é seco, acidez media, corpo leve, taninos leves. Notas frutadas. Red ruby colour. Aromas of cherry, olive. On the palate it's dry with medium acidity, low body and low tannins. Fruity notes. 85/100
Like
Comments (2)
Saulo M. Silva
2087 ratings
Rated the 2014 vintage on Feb 22, 2017
It is a good wine, but we had much more expectation with it! It is soft and presented plum aroma and taste, but with so much alcohol!
Like
Comment
Luís M
1136 ratings
Rated the 2013 vintage on Jul 30, 2015
Traces of a good Bourgogne with all contrasts: smooth with lingering tanines, not strong but with some complexity
Like
Comment
Luiz Malere
171 ratings
Rated the 2017 vintage on Dec 27, 2018
Show more reviews","Pinot Noir
","Burgundy Red
","Beef, Veal, Game (deer, venison), Poultry"
27,https://www.vivino.com/latido-115866-garnacha-sarah-selection/w/4285697?year=2016&amp;price_id=16653389,Latido de Sara,Wild Garnacha 2016,Red wine,Navarra,Spain,3.8,334 ratings,R$74.,"Community reviews
Its a good Option for hot days. Its Fresh and nice . 100 % wild garnacha or Grenache makes a good cup got any time. Very well done good pqr
Like
Comments (2)
Sam
1027 ratings
Rated on Jan 16, 2019
Interesting one. On the noose a vast of red fruits while the palate dominated by riped sour cherry and black pepper. Though a bit acid for the expectations.
Like
Comment
István Szőnyi
263 ratings
Rated on May 14, 2018
I can smell cherries, and raspberries bit of smoke and petrol. On the palate, medium bodied, nice complexity with tastes of cranberries and sour cherry.very nice wine!!
Like
Comment
Sky Sinistra
200 ratings
Rated on May 3, 2019
Show more reviews","Garnacha
","Spanish Grenache
","Beef, Pasta, Lamb, Game (deer, venison), Poultry"
28,https://www.vivino.com/borgo-sanleo-montepulciano-d-abruzzo/w/1311445?year=2015&amp;price_id=14236189,Borgo SanLeo,Montepulciano d'Abruzzo 2015,Red wine,Montepulciano d'Abruzzo,Italy,3.5,264 ratings,R$82.,"Summary
Winery
Borgo SanLeo
Grapes
Montepulciano
Region
Montepulciano d'Abruzzo
Regional styles
Italian Montepulciano d'Abruzzo
Food pairing
Beef, Pasta, Veal, Pork","Montepulciano
","Italian Montepulciano d'Abruzzo
","Beef, Pasta, Veal, Pork"
29,https://www.vivino.com/kaiken-sa-obertura-cabernet-franc-mendoza/w/4344305?year=2013&amp;price_id=7341402,Kaiken,Obertura Cabernet Franc 2013,Red wine,Mendoza,Argentina,4,81 ratings,R$274.39.,"Community reviews
Deep, strong, and my wife loves it :)
Like
Comment
Jiri Pomichalek
34 ratings
Rated on Feb 4, 2017
Velvety CF, deep ruby color, leather, herbal and cassis flavors, coffee notes, dark fruits on mouth, medium bodied, fresh finish. 100% CF aged for 12 months in French oak barrels, third use. 14,5% abv. Rate 3.8
Like
Comments (16)
Reynaldo Ajauskas
2580 ratings
Rated the 2014 vintage on Jul 22, 2018
Excellent CF. Deep ruby color, delicate and complex nose of raspberry, wild strawberry, vanilla, sweet tobacco and smoky underlayers. The palate is dry with balanced acidity and velvety tannins. Dark fruits, wild berries, vanilla, a bit of new leather. Complex, elegant, nice structure. Medium body, silky mouthfeel, medium long fruity, savoury finish. Awesome. Drink now, will age nicely further. 4.2/5.0
Like
Comment
Roman Khapaev RWC
905 ratings
Rated the 2014 vintage on Apr 21, 2019
Show more reviews","Cabernet Franc
","Winery
Kaiken
Grapes
Cabernet Franc
Region
Mendoza
","Beef, Pork, Game (deer, venison), Poultry, Mild and soft cheese"
30,https://www.vivino.com/anubis-reserve-malbec/w/1223476?year=2016&amp;price_id=18403540,Anubis,Reserve Malbec 2016,Red wine,Mendoza,Argentina,4,26 ratings,R$79.,"Community reviews
Tasted as part of a flight at Whigham's. Classic, full-bodied Malbec with cherries and violets on the nose and plums, cherries and vanilla to taste. Made me wish I had a steak to go with it.
Like
Comment
Becky
494 ratings
Rated on Jan 17, 2019
love the straight forward label to let the wine did the talking - Great Malbec
Like
Comment
Simon Gray
4 ratings
Rated on Oct 28, 2018
Good potential but does need some time to breathe.
Like
Comment
Alex Jones
19 ratings
Rated on Dec 2, 2018
Show more reviews","Malbec
","Argentinian Malbec
","Beef, Lamb, Poultry"
